event_id,session_id,start_time,end_time,duration_s,rms_mean,rms_max,peak_max,borderline,wav_path,notes,public_detections_count,public_species_unique,public_total_duration_s,public_top_species_by_count,public_top_species_by_duration
event_20260111_084507_159,20260111_003017,2026-01-11T08:45:07+01:00,2026-01-11T08:45:15+01:00,8.7,0.007625,,0.06322,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084507_159.wav,,0,0,0.0,,
event_20260111_084515_160,20260111_003017,2026-01-11T08:45:15+01:00,2026-01-11T08:45:21+01:00,6.14,0.007995,,0.04339,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084515_160.wav,,0,0,0.0,,
event_20260111_084533_161,20260111_003017,2026-01-11T08:45:33+01:00,2026-01-11T08:45:37+01:00,6.14,0.00203,,0.04289,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084533_161.wav,,0,0,0.0,,
event_20260111_084833_162,20260111_003017,2026-01-11T08:48:33+01:00,2026-01-11T08:48:44+01:00,13.82,0.010985,,0.05391,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084833_162.wav,,0,0,0.0,,
event_20260111_084846_163,20260111_003017,2026-01-11T08:48:46+01:00,2026-01-11T08:48:56+01:00,11.95,0.0052299999999999,,0.04206,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084846_163.wav,,0,0,0.0,,
event_20260111_084942_164,20260111_003017,2026-01-11T08:49:42+01:00,2026-01-11T08:49:45+01:00,6.14,0.002075,,0.09469,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_084942_164.wav,,0,0,0.0,,
event_20260111_085002_165,20260111_003017,2026-01-11T08:50:02+01:00,2026-01-11T08:50:05+01:00,6.14,0.00238,,0.05094,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085002_165.wav,,0,0,0.0,,
event_20260111_085042_166,20260111_003017,2026-01-11T08:50:42+01:00,2026-01-11T08:50:50+01:00,10.92,0.021365,,0.17475,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085042_166.wav,,0,0,0.0,,
event_20260111_085202_167,20260111_003017,2026-01-11T08:52:02+01:00,2026-01-11T08:52:05+01:00,6.14,0.0033699999999999,,0.05663,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085202_167.wav,,0,0,0.0,,
event_20260111_085229_168,20260111_003017,2026-01-11T08:52:29+01:00,2026-01-11T08:52:32+01:00,6.31,0.003065,,0.06585,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085229_168.wav,,0,0,0.0,,
event_20260111_085240_169,20260111_003017,2026-01-11T08:52:40+01:00,2026-01-11T08:52:43+01:00,6.14,0.002035,,0.04723,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085240_169.wav,,0,0,0.0,,
event_20260111_085253_170,20260111_003017,2026-01-11T08:52:53+01:00,2026-01-11T08:52:56+01:00,6.14,0.00255,,0.06955,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085253_170.wav,,0,0,0.0,,
event_20260111_085452_171,20260111_003017,2026-01-11T08:54:52+01:00,2026-01-11T08:54:56+01:00,6.14,0.0091349999999999,,0.04902,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085452_171.wav,,0,0,0.0,,
event_20260111_085456_172,20260111_003017,2026-01-11T08:54:56+01:00,2026-01-11T08:55:02+01:00,6.14,0.0021,,0.04284,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085456_172.wav,,0,0,0.0,,
event_20260111_085511_173,20260111_003017,2026-01-11T08:55:11+01:00,2026-01-11T08:55:14+01:00,6.14,0.00285,,0.06044,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085511_173.wav,,0,0,0.0,,
event_20260111_085718_174,20260111_003017,2026-01-11T08:57:18+01:00,2026-01-11T08:57:21+01:00,6.14,0.002775,,0.05122,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085718_174.wav,,0,0,0.0,,
event_20260111_085806_175,20260111_003017,2026-01-11T08:58:06+01:00,2026-01-11T08:58:09+01:00,6.66,0.007825,,0.07337,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085806_175.wav,,0,0,0.0,,
event_20260111_085813_176,20260111_003017,2026-01-11T08:58:13+01:00,2026-01-11T08:58:17+01:00,6.49,0.005725,,0.04039,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085813_176.wav,,0,0,0.0,,
event_20260111_085820_177,20260111_003017,2026-01-11T08:58:20+01:00,2026-01-11T08:58:23+01:00,6.31,0.00548,,0.05086,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085820_177.wav,,0,0,0.0,,
event_20260111_085832_178,20260111_003017,2026-01-11T08:58:32+01:00,2026-01-11T08:58:35+01:00,6.14,0.00558,,0.0412,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085832_178.wav,,0,0,0.0,,
event_20260111_085837_179,20260111_003017,2026-01-11T08:58:37+01:00,2026-01-11T08:58:41+01:00,6.14,0.005045,,0.04318,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_085837_179.wav,,0,0,0.0,,
